Execucao,AVL_5000_Remocao
1,694100
2,666600
3,663100
4,666900
5,744200
6,677800
7,844700
8,695100
9,722900
10,713400
11,736900
12,737100
13,811400
14,751700
15,730400
16,747700
17,748400
18,746900
19,751100
20,747500
21,748200
22,765400
23,763000
24,759900
25,762600
26,778800
27,779200
28,746300
29,778800
30,771200
