Execucao,InsercaoMaisProxima_Tempo_30,VizinhoMaisProximo_Tempo_30
1,175500,36000
2,143700,19800
3,101100,18900
4,117200,18700
5,149400,18600
6,88700,18000
7,106500,17800
8,316000,17500
9,145200,17900
10,75300,18000
11,113600,18100
12,68000,18800
13,67400,19000
14,66500,18000
15,65600,18600
16,66800,18500
17,66500,19500
18,66700,18300
19,67100,18300
20,65500,20400
21,67100,18300
22,65800,18500
23,66700,19500
24,66200,18500
25,65700,18700
26,67400,18400
27,66500,18100
28,68300,18600
29,67400,18500
30,66400,18600
