Execucao,RubroNegra_5000_InsercaoOrdenada
1,356600
2,369300
3,400000
4,387600
5,387300
6,397100
7,396300
8,402500
9,415000
10,435100
11,414000
12,399000
13,404600
14,413500
15,428600
16,411100
17,415600
18,409000
19,411100
20,430800
21,417500
22,414600
23,451200
24,440500
25,452200
26,420200
27,413500
28,408100
29,404500
30,411000
