Execucao,BST_1000_InsercaoAleatoria
1,251100
2,163200
3,156000
4,160300
5,161500
6,158600
7,154800
8,198700
9,261000
10,229400
11,170400
12,164800
13,164400
14,166300
15,163000
16,158800
17,168500
18,237900
19,353200
20,154100
21,229100
22,232600
23,242400
24,167200
25,173000
26,170400
27,182900
28,148200
29,128400
30,122400
