Execucao,BST_5000_Remocao
1,1609300
2,648100
3,937100
4,667100
5,629300
6,606900
7,606600
8,604800
9,577800
10,568100
11,597400
12,603700
13,670300
14,609600
15,626100
16,592100
17,602500
18,603800
19,610500
20,851400
21,652500
22,614700
23,567000
24,563900
25,564700
26,565400
27,568900
28,565200
29,565600
30,594100
