Execucao,VizinhoMaisProximo_20,InsercaoMaisProxima_20
1,470.76,455.05
2,474.64,494.64
3,496.78,418.47
4,439.17,342.43
5,569.64,482.86
6,520.47,566.66
7,471.15,500.77
8,415.00,435.89
9,409.40,413.03
10,578.09,540.25
11,467.79,452.46
12,447.61,404.99
13,521.18,445.11
14,374.40,380.13
15,373.17,453.60
16,503.90,476.59
17,531.08,536.54
18,626.65,530.25
19,485.89,505.11
20,456.80,482.46
21,507.64,445.29
22,508.78,460.99
23,421.00,427.24
24,479.61,519.59
25,440.57,549.94
26,423.84,432.06
27,483.51,468.69
28,457.57,514.58
29,422.79,491.36
30,486.82,485.46
