Execucao,AVL_1000_InsercaoAleatoria
1,270100
2,150400
3,146500
4,181300
5,142800
6,142200
7,145600
8,142400
9,143100
10,205100
11,275100
12,220300
13,214800
14,203600
15,214800
16,208800
17,209200
18,210500
19,210900
20,211000
21,210600
22,219300
23,227500
24,202100
25,205200
26,202200
27,208500
28,206200
29,213900
30,234100
