Execucao,BST_100_Remocao
1,91900
2,123500
3,52000
4,46000
5,42500
6,31500
7,32500
8,33000
9,34100
10,32700
11,42300
12,33300
13,32100
14,33200
15,32400
16,30900
17,27700
18,25900
19,29200
20,26400
21,28200
22,26400
23,30600
24,28900
25,30900
26,27200
27,26100
28,26000
29,26700
30,23800
