Execucao,VizinhoMaisProximo_Tempo_10,InsercaoMaisProxima_Tempo_10
1,1459800,37100
2,3400,27100
3,2900,27400
4,2900,28900
5,2800,27000
6,3100,45700
7,3000,46400
8,2900,27500
9,3000,27200
10,3000,27600
11,3100,27800
12,3100,27500
13,2800,27600
14,2900,27600
15,2900,30100
16,2900,28300
17,3000,28200
18,2900,27300
19,2900,27600
20,2800,40000
21,3400,26900
22,2800,38600
23,2600,27500
24,2500,24600
25,2500,24100
26,2500,24500
27,2600,24900
28,2500,24500
29,2500,24100
30,2600,24200
