Execucao,RubroNegra_1000_Remocao
1,182100
2,126200
3,138100
4,125500
5,149800
6,152300
7,162400
8,171500
9,153000
10,144700
11,107300
12,105000
13,610900
14,318700
15,322400
16,484800
17,319400
18,276300
19,288500
20,315000
21,298600
22,293000
23,263200
24,186600
25,287400
26,266700
27,282300
28,219500
29,269700
30,124500
