Execucao,RubroNegra_1000_InsercaoOrdenada
1,196300
2,166300
3,165200
4,189000
5,208300
6,207500
7,223000
8,214300
9,234300
10,248800
11,125300
12,122700
13,195700
14,140700
15,131800
16,121600
17,131800
18,132700
19,135400
20,145700
21,146500
22,135800
23,143800
24,329300
25,139000
26,141600
27,92000
28,145400
29,141300
30,139500
