Execucao,BST_100_InsercaoAleatoria
1,1502900
2,81900
3,66300
4,56500
5,45200
6,37500
7,39900
8,39600
9,39500
10,39300
11,38300
12,34800
13,37600
14,37600
15,37600
16,52100
17,32900
18,31500
19,25800
20,26100
21,27600
22,25600
23,29900
24,33600
25,27800
26,29400
27,25800
28,25400
29,23900
30,37700
