Execucao,AVL_1000_Remocao
1,237400
2,148700
3,198500
4,151300
5,145600
6,145300
7,143900
8,158700
9,147200
10,302800
11,223000
12,212900
13,216200
14,216200
15,218600
16,213800
17,222800
18,219900
19,214000
20,213900
21,241300
22,232200
23,209700
24,213500
25,214300
26,224100
27,213300
28,223700
29,314100
30,214000
