Execucao,VizinhoMaisProximo_30,InsercaoMaisProxima_30
1,668.60,621.90
2,557.64,625.44
3,601.24,611.69
4,543.10,664.27
5,593.34,587.45
6,574.19,598.67
7,652.48,701.12
8,532.78,593.67
9,551.19,714.00
10,609.02,704.15
11,622.13,579.21
12,660.28,662.19
13,570.75,600.79
14,754.66,636.45
15,580.42,603.00
16,575.54,674.22
17,626.81,657.07
18,686.14,722.42
19,600.61,632.42
20,638.65,715.33
21,542.19,580.06
22,634.07,724.64
23,590.12,681.94
24,538.54,645.39
25,557.64,607.62
26,731.39,717.95
27,468.72,592.15
28,682.72,651.08
29,552.04,630.62
30,571.03,556.03
