Execucao,BST_5000_InsercaoAleatoria
1,1305800
2,745700
3,734900
4,820700
5,763600
6,691700
7,718800
8,679400
9,694000
10,666900
11,681300
12,665100
13,664500
14,710600
15,707300
16,820700
17,704800
18,712200
19,698400
20,1071800
21,761800
22,883700
23,666500
24,664100
25,675000
26,670100
27,665500
28,662400
29,666400
30,688400
