Execucao,RubroNegra_1000_Busca
1,12700
2,1200
3,1200
4,1000
5,1200
6,900
7,900
8,1000
9,900
10,1600
11,800
12,400
13,1100
14,1100
15,1000
16,1200
17,1200
18,1000
19,900
20,700
21,900
22,900
23,1000
24,1100
25,1500
26,1000
27,1000
28,900
29,1200
30,900
