Execucao,RubroNegra_100_Busca
1,4300
2,1300
3,1200
4,1100
5,1000
6,1100
7,1200
8,1000
9,1000
10,1100
11,1000
12,1100
13,900
14,900
15,1500
16,900
17,900
18,800
19,700
20,800
21,800
22,800
23,800
24,800
25,800
26,700
27,800
28,800
29,5300
30,1100
