Execucao,BST_1000_InsercaoOrdenada
1,4934200
2,4959100
3,5387300
4,4824800
5,4815900
6,4888500
7,5862200
8,6424800
9,6411300
10,5491800
11,5005700
12,5325900
13,5054000
14,4957700
15,5122300
16,4952600
17,5179900
18,7671600
19,5540700
20,6187200
21,6145700
22,7106900
23,6016800
24,5185800
25,5885400
26,5122600
27,5319600
28,4892700
29,4544100
30,4557200
