Execucao,AVL_1000_InsercaoOrdenada
1,98900
2,85200
3,92900
4,76900
5,83400
6,73800
7,79400
8,74900
9,78600
10,128700
11,123100
12,122100
13,130900
14,122700
15,122100
16,128600
17,123200
18,123200
19,126800
20,114400
21,122800
22,119800
23,124500
24,121100
25,126400
26,125200
27,126600
28,128300
29,121600
30,123100
