Execucao,AVL_5000_InsercaoAleatoria
1,778300
2,714400
3,722300
4,714700
5,792900
6,732100
7,869600
8,761700
9,779400
10,766200
11,767700
12,811500
13,788200
14,818600
15,811800
16,785000
17,821700
18,809300
19,809400
20,808600
21,816800
22,806500
23,822800
24,836000
25,805800
26,826700
27,832600
28,803800
29,835700
30,804700
