Execucao,RubroNegra_5000_Remocao
1,382000
2,399000
3,402500
4,420300
5,412400
6,423200
7,438600
8,422900
9,443500
10,432700
11,444500
12,425600
13,421800
14,439700
15,447400
16,434100
17,454300
18,434500
19,434400
20,447400
21,434100
22,435300
23,435300
24,437400
25,431100
26,437500
27,431600
28,439700
29,435900
30,457700
