Execucao,BST_5000_Busca
1,1700
2,1000
3,800
4,1200
5,900
6,600
7,700
8,600
9,500
10,500
11,800
12,500
13,500
14,500
15,500
16,900
17,500
18,700
19,400
20,1300
21,1000
22,19400
23,500
24,300
25,900
26,600
27,600
28,500
29,400
30,600
