Execucao,BST_1000_Busca
1,700
2,700
3,700
4,700
5,700
6,600
7,700
8,1300
9,1100
10,1200
11,600
12,1100
13,900
14,800
15,1100
16,700
17,1100
18,1500
19,3000
20,1100
21,4300
22,900
23,1100
24,800
25,600
26,700
27,700
28,700
29,700
30,700
