Execucao,RubroNegra_100_InsercaoAleatoria
1,1812600
2,71900
3,55900
4,58300
5,53300
6,68300
7,62700
8,37900
9,26200
10,24600
11,26800
12,24200
13,23800
14,27200
15,23800
16,21700
17,21400
18,21500
19,22000
20,23800
21,19800
22,22200
23,30400
24,19100
25,20300
26,17400
27,17800
28,21000
29,21800
30,22900
