Execucao,AVL_5000_InsercaoOrdenada
1,379400
2,380800
3,383800
4,374000
5,401600
6,374000
7,405500
8,396500
9,429600
10,405600
11,426700
12,415800
13,401000
14,432200
15,412700
16,416500
17,418100
18,427500
19,428600
20,408700
21,425100
22,466600
23,437000
24,438600
25,440700
26,421200
27,422000
28,418000
29,428400
30,461400
