Execucao,AVL_100_Remocao
1,148100
2,169200
3,101100
4,143800
5,171100
6,69200
7,86300
8,62100
9,71800
10,42300
11,42400
12,47800
13,40200
14,41000
15,40200
16,46100
17,42100
18,44500
19,42300
20,42900
21,40600
22,42400
23,44200
24,41600
25,42100
26,41100
27,43700
28,43500
29,42700
30,53900
