Execucao,RubroNegra_5000_InsercaoAleatoria
1,650100
2,620800
3,666500
4,961200
5,672100
6,724000
7,694000
8,695900
9,692400
10,716800
11,690200
12,708600
13,703800
14,698500
15,740500
16,708700
17,886600
18,711400
19,719200
20,766900
21,742900
22,740000
23,757900
24,761300
25,746500
26,772600
27,712100
28,715400
29,717100
30,817600
