Execucao,RubroNegra_5000_Busca
1,800
2,600
3,500
4,600
5,500
6,500
7,500
8,500
9,400
10,500
11,500
12,500
13,500
14,500
15,500
16,1600
17,4900
18,600
19,300
20,300
21,300
22,300
23,400
24,300
25,300
26,300
27,300
28,300
29,300
30,400
