Execucao,BST_100_InsercaoOrdenada
1,261500
2,222300
3,217700
4,195000
5,132700
6,133500
7,132900
8,132100
9,129900
10,133800
11,145400
12,131400
13,127100
14,128200
15,129700
16,113700
17,124300
18,63800
19,64000
20,63100
21,64100
22,81000
23,69400
24,64700
25,65300
26,64200
27,64300
28,68600
29,67700
30,62700
