Execucao,VizinhoMaisProximo_Tempo_10,InsercaoMaisProxima_Tempo_10
1,797200,47500
2,4400,36600
3,3900,35500
4,4000,38300
5,3800,36200
6,4000,35800
7,5400,36100
8,3800,36200
9,3600,35600
10,3700,37400
11,4100,35600
12,3900,36100
13,3600,35600
14,3600,35700
15,3700,35600
16,5100,36600
17,3700,36200
18,3600,35300
19,3700,38000
20,3700,35300
21,4500,35800
22,3600,35300
23,3900,36300
24,3600,35800
25,3600,35300
26,3700,35500
27,3600,36100
28,3600,35700
29,3600,35000
30,3600,35200
