Execucao,AVL_100_Busca
1,2000
2,800
3,800
4,800
5,800
6,800
7,700
8,700
9,800
10,900
11,800
12,700
13,700
14,600
15,800
16,500
17,7300
18,300
19,300
20,400
21,500
22,300
23,300
24,300
25,800
26,700
27,600
28,700
29,600
30,700
