Execucao,AVL_5000_InsercaoOrdenada
1,669000
2,471600
3,453500
4,407200
5,414100
6,519600
7,461700
8,500000
9,416200
10,479500
11,464100
12,578600
13,436600
14,439200
15,555000
16,420000
17,426700
18,427800
19,422100
20,452000
21,429400
22,523600
23,557100
24,381400
25,667900
26,415300
27,881600
28,743200
29,892800
30,554900
