Execucao,BST_1000_Busca
1,1300
2,1500
3,2100
4,1000
5,2000
6,1400
7,900
8,800
9,800
10,600
11,900
12,800
13,500
14,1300
15,1200
16,800
17,600
18,1000
19,600
20,1100
21,900
22,1100
23,1200
24,1100
25,1300
26,1200
27,800
28,900
29,800
30,900
