Execucao,RubroNegra_1000_Busca
1,17900
2,1400
3,1300
4,1200
5,1000
6,1100
7,1100
8,1100
9,900
10,1000
11,800
12,500
13,700
14,400
15,600
16,500
17,500
18,400
19,500
20,400
21,400
22,400
23,400
24,400
25,400
26,400
27,300
28,300
29,300
30,300
