Execucao,BST_5000_InsercaoOrdenada
1,151284200
2,171869600
3,139424500
4,140579600
5,105782700
6,101863500
7,101739200
8,101716500
9,99314200
10,102817300
11,98940000
12,97882500
13,100603600
14,104944400
15,103820100
16,101870600
17,102872900
18,100001000
19,103808900
20,103920100
21,102165700
22,101880200
23,103922300
24,103097700
25,99854400
26,101294000
27,101976000
28,102232600
29,103538100
30,104416900
