Execucao,BST_5000_Remocao
1,1032400
2,1216100
3,733800
4,860200
5,569900
6,612000
7,565500
8,565600
9,854400
10,566300
11,567500
12,569200
13,565400
14,563800
15,608600
16,567000
17,569000
18,566200
19,567800
20,564300
21,634200
22,609300
23,578600
24,618500
25,568100
26,569300
27,608500
28,568800
29,567800
30,575700
