Execucao,AVL_5000_InsercaoAleatoria
1,1273500
2,1033100
3,955600
4,737900
5,798700
6,1029000
7,1021700
8,922000
9,978600
10,862900
11,925000
12,979100
13,791100
14,838800
15,764300
16,824900
17,774700
18,724700
19,799300
20,717700
21,824800
22,721100
23,1557300
24,904700
25,876200
26,1394400
27,825000
28,1663600
29,1369200
30,1220900
