Execucao,AVL_100_InsercaoAleatoria
1,717300
2,238200
3,184800
4,165600
5,96700
6,90500
7,93200
8,92900
9,84500
10,89600
11,82500
12,97300
13,77000
14,79000
15,77900
16,89900
17,57600
18,40700
19,38500
20,47300
21,57500
22,43300
23,38500
24,39700
25,118100
26,79400
27,75800
28,72000
29,78500
30,59400
