Execucao,RubroNegra_100_Busca
1,5500
2,2000
3,1700
4,2100
5,2100
6,1900
7,1700
8,2100
9,1800
10,1800
11,1600
12,1600
13,1500
14,1600
15,2600
16,1500
17,1400
18,1200
19,1200
20,1400
21,1100
22,1200
23,1200
24,1100
25,1300
26,1100
27,1200
28,1500
29,4000
30,1300
