Execucao,RubroNegra_100_InsercaoOrdenada
1,173500
2,176700
3,174800
4,239000
5,137800
6,119700
7,107800
8,121200
9,106100
10,107300
11,108500
12,107400
13,110300
14,31600
15,29400
16,32300
17,32100
18,31000
19,33000
20,32500
21,30500
22,32500
23,51200
24,26100
25,30600
26,30700
27,31700
28,34700
29,28600
30,34400
