Execucao,BST_1000_Remocao
1,480400
2,406500
3,1379100
4,373800
5,412500
6,400100
7,258800
8,297400
9,256900
10,298700
11,213700
12,165200
13,186700
14,232400
15,243700
16,165600
17,170000
18,169100
19,165200
20,221500
21,167600
22,248700
23,260400
24,264800
25,234800
26,260600
27,186000
28,176000
29,177100
30,171000
