Execucao,RubroNegra_100_InsercaoAleatoria
1,933000
2,152700
3,148700
4,196400
5,242100
6,114900
7,108500
8,92100
9,115600
10,106000
11,104900
12,106800
13,114900
14,103600
15,39700
16,32600
17,32000
18,33800
19,32000
20,34700
21,29100
22,30400
23,32100
24,31000
25,29900
26,27800
27,26200
28,35300
29,33400
30,28700
