Execucao,BST_5000_Busca
1,1000
2,1800
3,1200
4,1000
5,900
6,900
7,700
8,500
9,400
10,800
11,800
12,400
13,400
14,500
15,400
16,500
17,900
18,700
19,400
20,500
21,1100
22,400
23,500
24,400
25,400
26,600
27,600
28,500
29,400
30,800
