Execucao,AVL_1000_InsercaoOrdenada
1,159200
2,224100
3,134000
4,101200
5,117000
6,104900
7,104300
8,168800
9,178600
10,104300
11,167700
12,182000
13,181200
14,194800
15,170700
16,176200
17,181300
18,101700
19,100700
20,104000
21,111800
22,105500
23,101200
24,102000
25,102700
26,102700
27,121500
28,104100
29,102200
30,103600
