Execucao,RubroNegra_5000_InsercaoAleatoria
1,934500
2,709800
3,953100
4,1361300
5,707900
6,711400
7,1269900
8,954600
9,622500
10,758900
11,1219300
12,615900
13,619600
14,973200
15,1077100
16,618800
17,881600
18,1267000
19,616700
20,774400
21,1117900
22,845600
23,619000
24,626200
25,1421100
26,615800
27,621200
28,774500
29,1228900
30,672800
