Execucao,InsercaoMaisProxima_Tempo_30,VizinhoMaisProximo_Tempo_30
1,301700,26400
2,121500,19800
3,140800,18500
4,161400,18800
5,116100,19500
6,158000,18600
7,92600,18700
8,175600,18400
9,229800,19000
10,175800,24200
11,145800,20300
12,233100,19100
13,313300,29300
14,267000,54500
15,230400,42600
16,204200,41300
17,184500,28700
18,245500,43600
19,174800,57400
20,96600,19600
21,116300,19000
22,219300,18900
23,158700,20800
24,107400,19400
25,131800,19200
26,152900,19000
27,141200,18600
28,137700,22100
29,97400,23900
30,101900,23600
