Execucao,BST_100_Remocao
1,143300
2,143400
3,110800
4,98100
5,78000
6,87900
7,86200
8,79800
9,88400
10,77100
11,90800
12,79900
13,73900
14,41400
15,38300
16,25600
17,22600
18,34900
19,42400
20,38300
21,39400
22,37200
23,41200
24,36900
25,38100
26,40100
27,39100
28,38500
29,41200
30,39700
