Execucao,BST_100_InsercaoOrdenada
1,411300
2,288500
3,291400
4,215800
5,203900
6,209200
7,210000
8,210300
9,214500
10,215400
11,200200
12,187400
13,210700
14,92200
15,73600
16,66400
17,65400
18,89900
19,91100
20,93600
21,93500
22,93200
23,94500
24,92700
25,92800
26,96900
27,94100
28,95700
29,104700
30,93700
