Execucao,RubroNegra_1000_Remocao
1,234700
2,205900
3,234500
4,207200
5,205300
6,201000
7,226800
8,243800
9,197800
10,188300
11,136200
12,133100
13,129800
14,126400
15,128700
16,129900
17,128400
18,128100
19,129800
20,126500
21,125700
22,123500
23,121100
24,124400
25,121700
26,120500
27,119900
28,121900
29,122500
30,119600
