Execucao,AVL_5000_Busca
1,1000
2,400
3,300
4,300
5,200
6,300
7,300
8,300
9,300
10,300
11,400
12,300
13,500
14,300
15,300
16,200
17,300
18,200
19,300
20,200
21,300
22,300
23,300
24,200
25,300
26,300
27,1500
28,700
29,700
30,500
