Execucao,AVL_5000_Remocao
1,1104800
2,884200
3,1030000
4,729200
5,749400
6,899200
7,954100
8,843200
9,956500
10,849300
11,846200
12,961700
13,663800
14,665100
15,778500
16,661600
17,667800
18,706300
19,889200
20,709900
21,712100
22,862700
23,1354400
24,711400
25,1429700
26,777700
27,1525800
28,1511400
29,1419300
30,1046600
