Execucao,AVL_100_InsercaoOrdenada
1,264700
2,206000
3,195100
4,96800
5,100900
6,97500
7,96400
8,102800
9,87800
10,92200
11,87900
12,65500
13,70100
14,64500
15,74500
16,38000
17,40700
18,40000
19,39100
20,68100
21,40800
22,39300
23,38000
24,47400
25,67400
26,73900
27,68800
28,72300
29,105500
30,56700
