Execucao,AVL_1000_Remocao
1,329500
2,333000
3,384000
4,206900
5,204900
6,210000
7,207300
8,261000
9,313100
10,291700
11,213900
12,304500
13,300800
14,305500
15,352800
16,301400
17,294500
18,220700
19,200000
20,198100
21,228200
22,199700
23,198700
24,199900
25,200000
26,208600
27,217900
28,241800
29,208000
30,204100
