Execucao,RubroNegra_5000_InsercaoOrdenada
1,390000
2,441300
3,676600
4,388200
5,430800
6,434400
7,590400
8,354500
9,352300
10,744600
11,353800
12,360400
13,442200
14,652500
15,352900
16,695500
17,701400
18,363600
19,376000
20,460500
21,759200
22,352500
23,363500
24,428200
25,621900
26,357800
27,360000
28,776000
29,352100
30,359600
