Execucao,RubroNegra_5000_Remocao
1,439000
2,417100
3,755600
4,464100
5,412700
6,485900
7,815000
8,384000
9,379500
10,690100
11,589600
12,376900
13,377400
14,716000
15,385300
16,555900
17,806200
18,407600
19,381100
20,379100
21,732900
22,382600
23,377000
24,493500
25,735100
26,382200
27,379400
28,560900
29,682500
30,408000
