Execucao,AVL_1000_Busca
1,7200
2,14800
3,1800
4,700
5,400
6,400
7,500
8,900
9,1000
10,1000
11,1000
12,1100
13,900
14,900
15,700
16,1200
17,900
18,900
19,400
20,300
21,400
22,400
23,400
24,500
25,300
26,900
27,800
28,500
29,500
30,300
