Execucao,BST_5000_InsercaoAleatoria
1,1116400
2,1374100
3,809700
4,835100
5,697000
6,705600
7,705600
8,703000
9,702300
10,659900
11,712900
12,660600
13,665700
14,709600
15,658700
16,711800
17,662100
18,672000
19,667300
20,704200
21,743400
22,704600
23,690200
24,716200
25,710200
26,658300
27,711200
28,705300
29,704200
30,729900
