Execucao,BST_1000_InsercaoAleatoria
1,486900
2,293000
3,556300
4,218600
5,294600
6,258900
7,198800
8,208400
9,214300
10,194000
11,250700
12,213100
13,185400
14,267300
15,303400
16,181900
17,218800
18,224800
19,191700
20,225400
21,195300
22,556000
23,325300
24,296800
25,295700
26,489000
27,204800
28,211000
29,184800
30,182800
