Execucao,RubroNegra_100_Remocao
1,120800
2,103200
3,100300
4,103000
5,83600
6,85800
7,75900
8,65300
9,76900
10,71600
11,95400
12,71800
13,38900
14,38900
15,36400
16,38600
17,38500
18,36200
19,66400
20,44000
21,29500
22,32600
23,31300
24,29900
25,28800
26,28400
27,25000
28,29500
29,31800
30,29200
