Execucao,BST_100_Busca
1,21100
2,600
3,900
4,800
5,700
6,700
7,800
8,800
9,800
10,600
11,900
12,800
13,700
14,800
15,600
16,27800
17,300
18,400
19,500
20,600
21,500
22,500
23,700
24,500
25,500
26,600
27,400
28,500
29,500
30,600
