Execucao,BST_1000_InsercaoOrdenada
1,8902400
2,8502200
3,8159900
4,6595300
5,6861000
6,6348500
7,6331600
8,6561100
9,5905100
10,6523700
11,5966700
12,5740700
13,8865000
14,7538700
15,6641300
16,5877600
17,6159500
18,5954800
19,7374000
20,6089900
21,6739500
22,8494400
23,8713800
24,6960100
25,6923500
26,7803700
27,6746100
28,7549100
29,6189600
30,6132000
