Execucao,AVL_1000_InsercaoAleatoria
1,342200
2,425300
3,319600
4,257600
5,201700
6,203600
7,200400
8,202800
9,319900
10,351600
11,235400
12,313300
13,300000
14,283800
15,301100
16,320500
17,296300
18,311800
19,194500
20,195100
21,199100
22,195300
23,194400
24,193000
25,193100
26,441000
27,194100
28,193700
29,197300
30,193400
