Execucao,RubroNegra_1000_InsercaoOrdenada
1,196000
2,224000
3,218200
4,182300
5,168700
6,180800
7,173000
8,187300
9,171300
10,192000
11,110300
12,104200
13,106000
14,109300
15,103700
16,133400
17,102900
18,105500
19,109300
20,111800
21,102200
22,103700
23,107300
24,101500
25,111900
26,103000
27,98200
28,100800
29,99100
30,98200
