Execucao,RubroNegra_1000_InsercaoAleatoria
1,394500
2,321200
3,325300
4,268300
5,276600
6,264300
7,261500
8,257600
9,250000
10,263500
11,169100
12,185000
13,172400
14,169200
15,191000
16,170000
17,170900
18,170700
19,183100
20,168300
21,167800
22,185300
23,167600
24,170700
25,174700
26,170500
27,163000
28,160400
29,160000
30,161900
